Date,Close/Last,Volume,Open,High,Low
05/20/2022,$102.42,15650430,$104.49,$104.8,$100.05
05/19/2022,$103.14,11284950,$103.43,$105.3,$102.96
05/18/2022,$104.3,11793980,$107.38,$107.66,$103.88
05/17/2022,$108.64,11847640,$107.73,$108.79,$106.3
05/16/2022,$105.18,11993640,$107.46,$107.62,$104.85
05/13/2022,$107.33,16782630,$105.36,$107.69,$105.31
05/12/2022,$104.31,36298830,$102.9,$105,$99.47
05/11/2022,$105.21,26933330,$107.9,$110.07,$104.79
05/10/2022,$107.68,15657720,$109.835,$110.7,$106.1447
05/09/2022,$106.98,17941600,$108.11,$110.74,$106.48
05/06/2022,$110.29,12525170,$111.77,$112.09,$108.3
05/05/2022,$112.61,12720190,$114.74,$115.27,$111.48
05/04/2022,$116.19,11488270,$113.37,$116.44,$111.83
05/03/2022,$113.55,11149540,$114.05,$114.83,$112.69
05/02/2022,$113.5,14300710,$111.71,$113.6601,$111.01
04/29/2022,$111.63,16907020,$115.2,$115.9899,$111.36
04/28/2022,$115.29,23192140,$115.22,$116,$112.69
04/27/2022,$115.21,15553010,$115.43,$116.9,$113.39
04/26/2022,$115.77,16116020,$119.15,$119.15,$115.64
04/25/2022,$119.95,16490970,$117.66,$120.33,$116.75
04/22/2022,$118.27,19472840,$120.01,$121.89,$118.15
04/21/2022,$121.66,18688640,$125.54,$126.45,$121.28
04/20/2022,$124.57,36465680,$126.05,$127.35,$124.1104
04/19/2022,$131.9,12767220,$128.09,$133.19,$127.79
04/18/2022,$127.77,10571010,$130.07,$130.22,$126.82
04/14/2022,$130.47,7283466,$132.81,$133.59,$130.35
04/13/2022,$132.35,7694467,$131.05,$132.89,$130.75
04/12/2022,$130.84,7885640,$131.81,$133.21,$130.1528
04/11/2022,$130.65,9915280,$130.04,$132.43,$130.04
04/08/2022,$131.87,6701966,$132,$133.12,$130.63
04/07/2022,$131.87,9858728,$133.01,$133.21,$130.02
04/06/2022,$132.57,11679730,$133.75,$133.93,$130.81
04/05/2022,$135.62,8694095,$137.74,$139.2,$135.13
04/04/2022,$138.58,8182004,$136.97,$139.261,$136.89
04/01/2022,$137,10341040,$137.34,$138.1,$135.53
03/31/2022,$137.16,12306460,$140.14,$140.88,$137.11
03/30/2022,$140.96,7922426,$141.31,$143.2675,$140.08
03/29/2022,$142.38,11280680,$140.96,$144.46,$140.96
03/28/2022,$138.72,8456087,$138.88,$139.6274,$136.2816
03/25/2022,$139.14,5952130,$139.28,$140.38,$138.12
03/24/2022,$138.96,5858789,$138.58,$139.2699,$137.41
03/23/2022,$137.64,8761269,$139.07,$139.76,$137.54
03/22/2022,$140.11,8511566,$139.06,$142.19,$138.9
03/21/2022,$138.62,9090316,$138.9,$139.3,$136.88
03/18/2022,$140.3,11308780,$139.55,$140.725,$138.3
