Date,Close/Last,Volume,Open,High,Low
05/20/2022,$52.47,31250360,$51.265,$52.6999,$51.13
05/19/2022,$50.65,19865520,$50,$50.885,$49.59
05/18/2022,$50.4,22275990,$51.22,$51.42,$50.16
05/17/2022,$51.34,19918200,$50.95,$51.52,$50.18
05/16/2022,$50.67,19435570,$49.87,$51.05,$49.87
05/13/2022,$49.92,22423690,$50.38,$50.79,$49.68
05/12/2022,$50.39,33468440,$49,$50.43,$48.72
05/11/2022,$49.45,29699500,$49.07,$50.235,$49.03
05/10/2022,$49.49,27335890,$49.04,$49.9,$48.685
05/09/2022,$48.64,25012350,$48.38,$49.17,$47.77
05/06/2022,$49.04,19891430,$48.09,$49.215,$48.04
05/05/2022,$48.45,28333000,$49.46,$49.55,$47.55
05/04/2022,$49.66,28613660,$48.89,$49.87,$47.91
05/03/2022,$49.29,33716940,$48.87,$50.04,$47.7
05/02/2022,$48.34,36228410,$47.68,$48.76,$47.46
04/29/2022,$49.07,28343300,$49.87,$50.335,$49
04/28/2022,$50.51,28227720,$50.44,$50.7699,$49.485
04/27/2022,$49.74,25819240,$49.11,$49.91,$48.21
04/26/2022,$49.03,25366480,$48.99,$50.25,$48.92
04/25/2022,$48.95,27390590,$47.85,$49.19,$47.12
04/22/2022,$48.13,22156800,$48.95,$49.1,$47.9
04/21/2022,$49.11,19105580,$49.93,$50.01,$48.92
04/20/2022,$49.75,24751800,$50,$50.16,$49.21
04/19/2022,$50.18,33441510,$51.66,$51.88,$49.37
04/18/2022,$51.84,17065050,$52.83,$53.11,$51.63
04/14/2022,$53.12,17240120,$53.4,$53.9094,$53.04
04/13/2022,$53.1,15777810,$53.13,$53.82,$52.7
04/12/2022,$53.11,22810730,$53.3,$53.93,$52.645
04/11/2022,$53.93,22054310,$55.46,$56.32,$53.775
04/08/2022,$55.17,24612250,$54.85,$55.58,$54.46
04/07/2022,$55.16,36305670,$52.5,$55.41,$52.5
04/06/2022,$52.87,31717520,$51.16,$53.09,$51.16
04/05/2022,$51.24,21176710,$50.81,$52.15,$50.75
04/04/2022,$50.94,20491540,$51.78,$51.87,$50.37
04/01/2022,$51.57,19073140,$52.12,$52.16,$51.1
