Date,Close/Last,Volume,Open,High,Low
05/20/2022,$176.98,7522122,$174.85,$177.16,$174.05
05/19/2022,$173.94,6874509,$174.72,$174.8,$172.69
05/18/2022,$175.5,8608771,$178.84,$179.37,$175.17
05/17/2022,$178.82,5751129,$178.72,$179.7,$176.59
05/16/2022,$178.08,5516706,$176.85,$179.13,$176.17
05/13/2022,$176.85,7732163,$178.7,$178.89,$175.8028
05/12/2022,$177.87,6898565,$176.47,$177.95,$174.71
05/11/2022,$176.13,6138896,$175.96,$178.32,$175.88
05/10/2022,$177.09,8186717,$178.23,$179.18,$176.5
05/09/2022,$177.33,7855212,$175.45,$178.56,$174.59
05/06/2022,$176.37,6434011,$175.14,$176.87,$174.69
05/05/2022,$176.76,7089184,$179.42,$179.71,$175.27
05/04/2022,$180.2,5923144,$178.15,$180.5,$177.15
05/03/2022,$178.29,5898660,$178.8,$180.63,$177.68
05/02/2022,$178.64,7145420,$180.47,$181.41,$177.03
04/29/2022,$180.46,8464103,$182.5,$182.545,$180.2
04/28/2022,$183.46,9405147,$182.25,$184.5,$181.92
04/27/2022,$182.1,11090330,$184.24,$184.82,$181.74
04/26/2022,$184.68,10190020,$185.1,$186.57,$184.1808
04/25/2022,$186.01,11176500,$182.34,$186.69,$182.1
04/22/2022,$181.54,8003593,$182.47,$183.15,$181.38
04/21/2022,$183.36,6969405,$183.93,$184.87,$182.56
04/20/2022,$183.89,8044908,$182.24,$184.32,$181.9
04/19/2022,$183.08,14380840,$180.72,$185.94,$179.95
04/18/2022,$177.66,6318656,$179.73,$180.39,$176.74
04/14/2022,$179.9,6188193,$180,$181.4,$179.73
04/13/2022,$180.66,5643118,$179.9,$180.84,$179.24
04/12/2022,$179.9,5957536,$179.2,$180.81,$178.2
04/11/2022,$179.84,5932040,$183,$184.2,$179.6
04/08/2022,$182.12,7144608,$181.33,$183.187,$180.43
04/07/2022,$181.76,7385179,$181.67,$182.95,$180.23
04/06/2022,$182.23,10330890,$179.39,$182.6,$178.62
04/05/2022,$177.61,7446074,$176.47,$179.65,$176.29
04/04/2022,$176.47,6860771,$178.19,$178.19,$175.52
04/01/2022,$178.19,6525643,$177.05,$178.43,$175.6
03/31/2022,$177.23,11490400,$179.59,$180.21,$176.98
03/30/2022,$179.59,6277556,$178.44,$179.86,$177.68
03/29/2022,$177.74,5933444,$178.62,$179.4,$176.8
03/28/2022,$177.83,5604162,$176.65,$178.179,$176.35
03/25/2022,$176.92,4809977,$175.69,$177.7,$175.22
03/24/2022,$175.24,5012277,$175,$175.54,$174.07
03/23/2022,$174.34,5254350,$175.23,$175.54,$174.09
03/22/2022,$175,8442113,$175.83,$176.37,$173.91
03/21/2022,$175.83,7574873,$174.66,$177.16,$174.32
03/18/2022,$174.84,13809540,$177,$177,$173.66
03/17/2022,$176.8,7472219,$175.21,$176.84,$174.2
03/16/2022,$174.52,9603324,$175.46,$176.95,$172.56
03/15/2022,$176.14,10554600,$173.33,$176.52,$172.55
03/14/2022,$171.69,7729453,$170.68,$174.12,$170.35
03/11/2022,$169.35,5188196,$169.13,$171.46,$169.02
03/10/2022,$169.66,6171649,$168.56,$170.15,$168.075
03/09/2022,$169.36,7248218,$170.01,$170.23,$167.89
03/08/2022,$168.72,11100340,$172.04,$173.12,$168.51
03/07/2022,$172.21,11663350,$168.3,$173.12,$167.36
03/04/2022,$169.48,6302672,$167.64,$169.86,$166.85
03/03/2022,$168.48,7333736,$166.7,$169.335,$166.32
03/02/2022,$166.04,6793377,$164.41,$167.63,$164.04
03/01/2022,$164,8737846,$163.04,$164.75,$162.4079
02/28/2022,$164.57,9373511,$162.87,$165.18,$162.3802
02/25/2022,$166,11340350,$160,$166.985,$159.7
02/24/2022,$158.14,12883440,$159.78,$160.13,$155.72
02/23/2022,$161.22,8016903,$161.51,$162.639,$160.85
02/22/2022,$161.14,6868893,$163.575,$163.74,$160.44
02/18/2022,$163.36,6423165,$164.98,$165.36,$162.94
02/17/2022,$166.19,6227569,$167.21,$167.45,$164.92
