Date,Close/Last,Volume,Open,High,Low
05/20/2022,$2186.26,1879301,$2241.71,$2251,$2127.46
05/19/2022,$2214.91,1459587,$2236.82,$2271.75,$2209.36
05/18/2022,$2248.02,1399138,$2304.75,$2313.9134,$2242.84
05/17/2022,$2334.03,1078804,$2344.55,$2344.55,$2306.75
05/16/2022,$2295.85,1164119,$2307.68,$2332.15,$2286.7
05/13/2022,$2330.31,1486878,$2296.91,$2361.7,$2280
05/12/2022,$2263.22,2073244,$2238.76,$2297.13,$2202.27
05/11/2022,$2279.22,1825082,$2274.21,$2333.42,$2273
05/10/2022,$2291.69,1557889,$2320.81,$2333.82,$2267.6657
05/09/2022,$2261.68,1726048,$2266.07,$2311.2581,$2251.03
05/06/2022,$2313.2,1765474,$2310.38,$2349.97,$2282.86
05/05/2022,$2334.93,2154452,$2404.41,$2424.665,$2303.65
05/04/2022,$2451.5,1661573,$2360.07,$2462.86,$2314.77
05/03/2022,$2362.59,1060787,$2335.3,$2386,$2332.54
05/02/2022,$2343.14,1513982,$2278.13,$2346.79,$2267.99
04/29/2022,$2299.33,1684655,$2351.56,$2379.2,$2293.88
04/28/2022,$2388.23,1839547,$2342.3,$2408.77,$2302.8778
04/27/2022,$2300.41,3111906,$2287.46,$2350,$2262.485
04/26/2022,$2390.12,2469652,$2455,$2455,$2383.237
04/25/2022,$2465,1726090,$2388.59,$2465.56,$2375.385
04/22/2022,$2392.28,2320515,$2500,$2509.04,$2382.81
04/21/2022,$2498.75,1507877,$2587,$2606.15,$2493
04/20/2022,$2564.91,1130469,$2625.68,$2638.47,$2557.8811
04/19/2022,$2610.62,1135965,$2561.54,$2618.075,$2549.03
04/18/2022,$2559.22,745860,$2548.2,$2574.24,$2531.5693
04/14/2022,$2545.06,1174168,$2612.99,$2614.205,$2542.23
04/13/2022,$2605.72,977148,$2572.53,$2613.115,$2568.7719
04/12/2022,$2567.49,1150161,$2648.47,$2648.47,$2551.52
04/11/2022,$2595.93,1209367,$2658,$2658.7836,$2592.35
04/08/2022,$2680.21,821724,$2725,$2725,$2675.0501
04/07/2022,$2729.3,972427,$2732.36,$2754.03,$2697.145
04/06/2022,$2743.52,1178730,$2783.23,$2796.97,$2728.3622
04/05/2022,$2821.26,962778,$2867.99,$2871.8,$2818.87
04/04/2022,$2872.85,954245,$2816.49,$2880.875,$2816.49
04/01/2022,$2814,1174001,$2800.2,$2819,$2775.94
03/31/2022,$2792.99,1475816,$2848.97,$2852.89,$2792.38
03/30/2022,$2852.89,1052319,$2857.4,$2869.61,$2843.36
03/29/2022,$2865,1433921,$2863.21,$2883.25,$2849.68
03/28/2022,$2839,1188654,$2813.69,$2839.53,$2796.5627
03/25/2022,$2830.43,964454,$2835.08,$2839.19,$2793.99
03/24/2022,$2826.24,1027236,$2785.45,$2827.93,$2760.7876
03/23/2022,$2770.07,1265116,$2782.77,$2800.5,$2763.33
03/22/2022,$2805.55,1488843,$2730,$2830,$2730
03/21/2022,$2729.57,1331623,$2736.95,$2751.65,$2692.23
03/18/2022,$2736.03,2294985,$2677.68,$2738.27,$2658.64
03/17/2022,$2692.01,1199719,$2666.42,$2694.7899,$2654.38
03/16/2022,$2673.81,1602910,$2620,$2675.42,$2584.02
03/15/2022,$2593.21,1514630,$2554.83,$2610.345,$2531.36
03/14/2022,$2534.82,1512693,$2611.46,$2620.52,$2528.26
03/11/2022,$2609.51,1329990,$2679.99,$2684,$2605.93
03/10/2022,$2653.64,1213260,$2629.25,$2670.77,$2628.02
03/09/2022,$2677.32,1612872,$2628,$2683.97,$2601.76
03/08/2022,$2545.57,1762478,$2525.01,$2624.93,$2517.215
03/07/2022,$2529.29,1958895,$2638.08,$2638.08,$2528.2
03/04/2022,$2642.44,1223612,$2667.65,$2683.98,$2608.17
03/03/2022,$2686.16,988965,$2719.57,$2734.2759,$2668.62
03/02/2022,$2695.03,1198337,$2692.165,$2712.31,$2668.65
03/01/2022,$2683.36,1231996,$2689.6,$2722.22,$2667.57
02/28/2022,$2697.82,1483784,$2665.69,$2712.81,$2656.505
02/25/2022,$2690.39,1311793,$2670.51,$2707.78,$2635.3
02/24/2022,$2653.47,2158254,$2500,$2660.74,$2495.29
02/23/2022,$2551.7,1321564,$2621.57,$2634.98,$2550.07
02/22/2022,$2588.05,1945329,$2599.7,$2638.015,$2554.82
02/18/2022,$2609.35,1592930,$2660.75,$2676.48,$2606.1405
