Date,Close/Last,Volume,Open,High,Low
05/20/2022,$166.94,73910530,$173.32,$174.1,$157.55
05/19/2022,$171.24,62130960,$169.37,$176.87,$167.3405
05/18/2022,$169.38,54516110,$177.05,$181.18,$168.64
05/17/2022,$181.77,58582970,$180.74,$183.71,$176.34
05/16/2022,$172.64,52144600,$175.09,$177.88,$171.06
05/13/2022,$177.06,67043650,$167.88,$179.2843,$165.925
05/12/2022,$161.75,70872840,$162.191,$167.88,$155.67
05/11/2022,$166.3,67016700,$173.47,$177.53,$165.68
05/10/2022,$175.95,76147430,$176.89,$181.98,$170.25
05/09/2022,$169.5,64445450,$180.34,$182.55,$168.27
05/06/2022,$186.75,63329670,$187.36,$195.12,$179.9
05/05/2022,$188.44,62633140,$198.67,$199.25,$185
05/04/2022,$203.34,64885460,$199.23,$204,$187.51
05/03/2022,$196.02,47575080,$194,$198.25,$191.33
05/02/2022,$195.33,57204870,$185.405,$195.74,$183.91
04/29/2022,$185.47,50043490,$194.02,$201.2848,$185.17
04/28/2022,$197.82,57032670,$189.67,$200.37,$184.8957
04/27/2022,$184.15,49946020,$185.98,$191.67,$182.9
04/26/2022,$187.88,65314250,$197.18,$197.88,$186.7
04/25/2022,$199.02,64156560,$192.02,$199.45,$190.96
04/22/2022,$195.15,62471340,$203.03,$204.86,$195
04/21/2022,$201.83,65620940,$217.092,$223.92,$200
04/20/2022,$214.82,46897440,$225.171,$226.7037,$212
04/19/2022,$221.98,51278060,$217.2,$223.73,$213.14
04/18/2022,$217.83,52570060,$212,$220.88,$210.79
04/14/2022,$212.58,56909690,$225.05,$227.77,$211.63
04/13/2022,$222.03,51694340,$217.28,$225,$214.55
04/12/2022,$215.04,66225810,$225.37,$227.25,$212.8204
04/11/2022,$219.17,57520680,$222.14,$223.1994,$216.6
04/08/2022,$231.19,52478060,$239.17,$239.23,$230.6201
04/07/2022,$242.08,55799240,$244.41,$247.22,$234.78
04/06/2022,$244.07,70383260,$249.34,$253,$240.03
04/05/2022,$259.31,43661470,$272.54,$273.19,$258.2
04/04/2022,$273.6,39770780,$267.28,$275.58,$266.13
04/01/2022,$267.12,51723510,$273.75,$274.96,$262.67
03/31/2022,$272.86,52344020,$277.82,$282.48,$272.7
03/30/2022,$276.9,46348710,$283.04,$284.955,$275.03
03/29/2022,$286.56,48898440,$286.945,$289.46,$279.8
03/28/2022,$282.19,42549390,$277.555,$282.5,$272.06
03/25/2022,$276.92,57901620,$278.86,$283.58,$272.71
03/24/2022,$281.5,87737910,$261.66,$283.1999,$259.07
03/23/2022,$256.34,50211990,$261.26,$266.115,$255.7501
03/22/2022,$265.24,54700710,$267.27,$272.38,$260.72
03/21/2022,$267.34,59172710,$265.07,$271.5199,$259.67
03/18/2022,$264.53,73071860,$247.99,$265.6899,$246.24
03/17/2022,$247.66,47194120,$241.2,$248.42,$239.06
03/16/2022,$244.96,67142170,$235,$245.97,$231.72
03/15/2022,$229.73,49199570,$215.18,$230.38,$213.2201
03/14/2022,$213.3,38535420,$218.69,$222.62,$211.5901
03/11/2022,$221,36720860,$230.22,$231.45,$220.46
03/10/2022,$226.58,42806570,$225.31,$227.88,$218.82
03/09/2022,$230.14,49274200,$223.87,$232.2,$222.47
03/08/2022,$215.14,55746720,$213.09,$223.7299,$206.5
03/07/2022,$213.52,45082090,$228.17,$230.33,$213.3
03/04/2022,$229.36,43201070,$233.84,$236.8,$224.82
03/03/2022,$237.14,36509500,$242.615,$243.2599,$234.69
03/02/2022,$242.2,38964190,$237.56,$244.09,$234.15
03/01/2022,$234.77,41205600,$242.91,$243.77,$231.32
02/28/2022,$243.85,47731860,$239.92,$246.65,$237.0701
02/25/2022,$241.57,52886550,$237.21,$242.17,$233.81
02/24/2022,$237.48,73580060,$210.15,$238,$208.9
02/23/2022,$223.87,56651080,$238.02,$241.5499,$223.01
02/22/2022,$233.9,63342240,$230.35,$240.6399,$230
02/18/2022,$236.42,76125490,$246.675,$249.86,$231
02/17/2022,$245.07,81059510,$256.3,$257.85,$241.65
02/16/2022,$265.11,73267630,$262.59,$265.82,$255.52
02/15/2022,$264.95,70175280,$249.49,$265.45,$247.84
02/14/2022,$242.67,44042440,$239.34,$248.75,$237.55
02/11/2022,$239.49,60547200,$259.16,$261.52,$237.73
