Date,Close/Last,Volume,Open,High,Low
05/20/2022,$186.35,10429400,$185.867,$190.19,$179.77
05/19/2022,$183.48,10448510,$178.045,$186.3,$175.71
05/18/2022,$177.19,9665632,$186.72,$187.7,$176.27
05/17/2022,$190.56,9876685,$189.17,$191.4,$185.17
05/16/2022,$186.51,16145010,$193.3,$195.89,$185.7
05/13/2022,$187.64,13136330,$177.16,$187.77,$176.01
05/12/2022,$174.31,17662120,$163.96,$177.58,$162.71
05/11/2022,$166.37,12665520,$176.09,$180.92,$165.55
05/10/2022,$177.66,13883910,$176.01,$181.8712,$170.57
05/09/2022,$173.1,14031330,$177.655,$183.2,$172.3
05/06/2022,$180.97,17185480,$186.75,$187.21,$175.81
05/05/2022,$188.32,13971330,$200.45,$200.71,$186
05/04/2022,$204.01,12218780,$197.65,$204.38,$191.01
05/03/2022,$199.87,11839430,$198.29,$203.2,$194.77
05/02/2022,$199.46,14591600,$191.71,$200.2141,$190.01
04/29/2022,$190.36,16391890,$198.68,$204.71,$190
04/28/2022,$199.52,21363160,$191.56,$201.48,$185.6
04/27/2022,$188.54,22298390,$194.005,$200.19,$187.77
04/26/2022,$198.4,20318090,$208.8,$209.15,$198.2773
04/25/2022,$209.91,28152050,$213.81,$216.66,$204.51
04/22/2022,$215.52,37515130,$220.18,$226.27,$210.05
04/21/2022,$218.22,53501600,$220,$227.68,$211.52
04/20/2022,$226.19,133387500,$245.2,$248.7,$212.51
04/19/2022,$348.61,20906890,$333.22,$351.68,$333.22
04/18/2022,$337.86,5105041,$340,$342.36,$331.615
04/14/2022,$341.13,4343837,$350.95,$352,$339.86
04/13/2022,$350.43,3230950,$343.92,$352,$341.155
04/12/2022,$344.1,3824261,$355.91,$359.41,$342.25
04/11/2022,$348,3777096,$350,$354.78,$345.2
04/08/2022,$355.88,4025183,$361.96,$362.5,$354.865
04/07/2022,$362.15,4948909,$365,$368.54,$353.6897
04/06/2022,$368.35,4354885,$374.15,$376.4699,$362.73
04/05/2022,$380.15,4234508,$389.3,$390,$377.305
04/04/2022,$391.5,7009235,$373.55,$396.02,$373.13
04/01/2022,$373.47,4644237,$376.8,$380.87,$368.5
03/31/2022,$374.59,4134720,$383.59,$384,$373.61
03/30/2022,$381.47,4023301,$389.55,$392.7,$378.625
03/29/2022,$391.82,5880723,$384.39,$396.5,$380.33
03/28/2022,$378.51,4323435,$375.23,$380.28,$366.73
03/25/2022,$373.85,3575953,$377.07,$377.64,$366.43
03/24/2022,$375.71,3888461,$379.76,$379.76,$368.9
03/23/2022,$374.49,3728954,$379.77,$382.46,$374.49
03/22/2022,$382.92,4242762,$371.14,$386.66,$366.76
03/21/2022,$374.59,4866463,$378.02,$381.82,$368.94
03/18/2022,$380.6,8324825,$372,$381.8,$368.47
03/17/2022,$371.4,5818348,$359.7,$373.31,$354.88
03/16/2022,$357.53,6982469,$348.2,$359.99,$343.06
03/15/2022,$343.75,5460640,$335.1,$345.36,$332.36
03/14/2022,$331.01,5907817,$338.72,$341.32,$329.82
03/11/2022,$340.32,4819925,$361.19,$363.36,$340
03/10/2022,$356.77,4807767,$356.2,$367.02,$353.3
03/09/2022,$358.79,6520186,$357.685,$364.14,$350.5089
03/08/2022,$341.76,6428655,$349.8,$358.86,$340.67
03/07/2022,$350.26,5708383,$360.41,$361.995,$350.2
03/04/2022,$361.73,5329180,$368,$374.8186,$357.17
03/03/2022,$368.07,6076836,$386,$386.12,$364.65
03/02/2022,$380.03,5356809,$388.93,$389.22,$375.21
03/01/2022,$386.24,3290439,$391.6,$395,$383.705
02/28/2022,$394.52,5035046,$387.33,$397.75,$382.13
02/25/2022,$390.8,4841636,$386.61,$391.29,$375.58
02/24/2022,$390.03,7068724,$355.09,$390.73,$354.72
02/23/2022,$367.46,4614290,$382.72,$386,$366.66
02/22/2022,$377.38,6697515,$388.95,$392.42,$373.02
02/18/2022,$391.29,6801668,$392.53,$402.87,$389.0466
02/17/2022,$386.67,4669222,$394.235,$399.11,$385.7
02/16/2022,$398.08,5277650,$401.53,$401.56,$390.3842
02/15/2022,$407.46,5395641,$403.79,$409.1619,$401.01
02/14/2022,$396.57,7202155,$387.59,$409.36,$386.891
02/11/2022,$391.31,7558939,$405.33,$411.6103,$387.65
02/10/2022,$406.27,8452915,$402.1,$408,$396.36
02/09/2022,$412.89,7738227,$408.65,$412.98,$398.79
02/08/2022,$403.53,6818543,$398.18,$406.61,$395.83
02/07/2022,$402.1,8232859,$410.17,$412.35,$393.55
02/04/2022,$410.17,7789798,$407.31,$412.77,$396.6391
02/03/2022,$405.6,9905210,$421.44,$429.26,$404.28
02/02/2022,$429.48,14346010,$448.25,$451.98,$426.48
02/01/2022,$457.13,22568100,$432.96,$458.48,$425.5401
01/31/2022,$427.14,20047450,$401.97,$427.7,$398.2
01/28/2022,$384.36,11966610,$386.76,$387,$372.08
01/27/2022,$386.7,24324750,$382.06,$394.8,$378.1
