Date,Close/Last,Volume,Open,High,Low
05/20/2022,$60.98,29133760,$60.49,$61.235,$59.66
05/19/2022,$60,31493880,$60.96,$60.96,$59.66
05/18/2022,$61.2,31437310,$65.42,$65.52,$60.9639
05/17/2022,$65.78,21300590,$66.1,$66.1,$65.01
05/16/2022,$65.96,13223180,$65.44,$66.38,$65.44
05/13/2022,$65.72,16166960,$64.81,$65.8,$64.12
05/12/2022,$64.51,22574720,$64.16,$64.53,$63.205
05/11/2022,$64.31,19648400,$64.33,$65.2,$63.96
05/10/2022,$64.01,21322220,$64.5,$65.32,$63.85
05/09/2022,$64.61,20055330,$64.47,$65.365,$64.04
05/06/2022,$64.74,18984020,$64.2,$65.31,$64.07
05/05/2022,$64.51,20155240,$64.69,$65.03,$64.01
05/04/2022,$65.03,19780190,$63,$65.12,$62.94
05/03/2022,$63.08,21686340,$63.72,$63.94,$62.67
05/02/2022,$63.44,24970310,$65.28,$65.31,$62.58
04/29/2022,$64.61,20137150,$65.87,$66.03,$64.49
04/28/2022,$66.19,22020520,$64.66,$66.28,$64.5
04/27/2022,$65.56,16971010,$65,$66.28,$65
04/26/2022,$65.05,21982610,$65.52,$66.367,$65.04
04/25/2022,$65.94,25082000,$67,$67.2,$64.78
04/22/2022,$65.25,14902200,$66.08,$66.34,$65.18
04/21/2022,$66.21,15120410,$65.98,$67,$65.72
04/20/2022,$65.96,14827070,$65.44,$66.24,$65.4
04/19/2022,$65.07,11993780,$64.5,$65.25,$64.44
04/18/2022,$64.44,11679370,$64.77,$65.18,$64.18
04/14/2022,$65.02,16388430,$64.96,$65.57,$64.82
04/13/2022,$64.73,11882990,$64.44,$64.87,$64.23
04/12/2022,$64.56,18089910,$64.38,$64.805,$63.89
04/11/2022,$63.81,12720110,$63.905,$64.3,$63.635
04/08/2022,$63.83,12703470,$63.48,$64.04,$63.16
04/07/2022,$63.44,13960820,$63.13,$63.67,$62.711
04/06/2022,$63.1,19267420,$62.77,$63.26,$62.3
04/05/2022,$62.47,15721230,$62.4,$63.235,$62.37
04/04/2022,$62.54,11506550,$62.6,$62.785,$61.72
