Date,Close/Last,Volume,Open,High,Low
05/20/2022,$162.21,5768823,$162.24,$163.06,$159.62
05/19/2022,$161.2,6423817,$162.5,$162.78,$159.6656
05/18/2022,$163.65,8875409,$173.686,$173.87,$162.92
05/17/2022,$174.46,5012159,$175.31,$175.68,$172.58
05/16/2022,$175.47,5317216,$173.71,$176.3,$173.4201
05/13/2022,$173.72,4714614,$170.7,$174.16,$169.46
05/12/2022,$170.4,6473535,$171.25,$171.99,$168.16
05/11/2022,$170.66,5376851,$170.82,$172.41,$169.92
05/10/2022,$171.49,5936727,$173.12,$174.54,$170.75
05/09/2022,$171.7,7269081,$169.66,$172.885,$168.76
05/06/2022,$170.41,5824752,$169.24,$170.8,$168.72
05/05/2022,$170.39,6534321,$173.1,$173.32,$169.08
05/04/2022,$173.86,6231681,$167.61,$174.12,$167.61
05/03/2022,$167.99,5564864,$169.14,$169.31,$166.58
05/02/2022,$167.76,7692131,$172.995,$173.46,$165.27
04/29/2022,$171.71,6505570,$177.41,$177.41,$171.41
04/28/2022,$177.5,5235831,$174.53,$177.62,$173.82
04/27/2022,$174.85,5180479,$173.42,$176.69,$173.19
04/26/2022,$173.3,7386563,$173.97,$175.3486,$172.73
04/25/2022,$173.74,7369911,$173.21,$173.92,$171
04/22/2022,$172.15,5864027,$174.99,$175.27,$171.94
04/21/2022,$174.84,3701297,$175.76,$177.24,$174.65
04/20/2022,$175.47,4197764,$173.72,$175.97,$173.72
04/19/2022,$172.9,3641992,$169.84,$173.165,$169.84
04/18/2022,$170.42,3086009,$171.22,$172.31,$169.96
04/14/2022,$171.9,4834298,$173.48,$174.26,$171.76
04/13/2022,$173,4394054,$173.58,$173.82,$171.73
04/12/2022,$173.3,3924333,$173.78,$174.65,$172.63
04/11/2022,$172.6,3825328,$173.61,$174.97,$172.32
04/08/2022,$173.13,3883183,$172.99,$173.69,$171.59
04/07/2022,$172.55,5041686,$172.03,$173.28,$170.78
04/06/2022,$172.39,4294868,$169.92,$172.7,$169.485
04/05/2022,$169.5,4480879,$168.32,$171.38,$168.32
04/04/2022,$169.32,3759985,$169.11,$169.39,$167.45
04/01/2022,$169.76,3239641,$167.89,$169.93,$167.37
03/31/2022,$167.38,6076177,$168.37,$169.3,$167.27
03/30/2022,$167.96,3871556,$168.1,$168.24,$166.115
03/29/2022,$168.19,4440480,$167.29,$168.58,$166.37
03/28/2022,$165.73,4308007,$165.1,$165.77,$163.71
03/25/2022,$165.24,4147791,$164.43,$165.9,$164.43
03/24/2022,$164.47,3160320,$164.06,$164.73,$163.27
03/23/2022,$163.48,4533800,$164.248,$165.275,$162.63
03/22/2022,$164.34,5779187,$162.84,$164.77,$162.23
03/21/2022,$162.56,5122570,$162.27,$163.81,$161.075
03/18/2022,$162.79,12123180,$161.38,$162.93,$160.06
03/17/2022,$160.94,3587628,$159.83,$161.63,$159.3
03/16/2022,$159.7,6299191,$158.41,$159.99,$157.04
03/15/2022,$159,6203356,$157.32,$159.5,$156.83
03/14/2022,$155.89,6075566,$155.15,$157.8,$154.5
03/11/2022,$153.73,4762675,$155.45,$156.885,$153.48
03/10/2022,$154.51,6103671,$155.79,$156.25,$153.37
03/09/2022,$157.4,5764927,$159.81,$160.06,$156.4
03/08/2022,$157.87,6163724,$162.38,$163.97,$157.69
03/07/2022,$162.45,6319483,$164.07,$165.15,$162.13
03/04/2022,$165.75,6341095,$162,$166.5,$160.92
03/03/2022,$163.27,5352221,$163.97,$165.19,$162.8
03/02/2022,$164.52,5452091,$162.98,$165.82,$162.49
03/01/2022,$162.27,5108127,$163.07,$164.4,$161.3
02/28/2022,$163.74,7676988,$164.04,$165.21,$161.405
02/25/2022,$168.38,6535637,$164.42,$168.46,$164.26
02/24/2022,$163.79,8888796,$165.71,$166.34,$160.285
02/23/2022,$166.69,5813018,$169.12,$169.12,$166.52
02/22/2022,$168.35,7734132,$168.57,$168.94,$166.23
02/18/2022,$167.71,5181629,$167.11,$168.235,$166.22
02/17/2022,$166.75,5156836,$166.01,$167.9523,$165
02/16/2022,$166.3,4161755,$165.63,$167.195,$164.54
02/15/2022,$165.96,4943851,$167.217,$168.25,$165.261
02/14/2022,$166.7,6822570,$169.415,$169.675,$165.1
02/11/2022,$168.58,7299574,$168.06,$170.31,$167.6901
02/10/2022,$168.37,7899839,$168.655,$171.45,$167.3
02/09/2022,$171.94,6780166,$172.5,$172.78,$171.01
02/08/2022,$172.02,3957685,$172.63,$172.64,$170.31
02/07/2022,$171.81,4813468,$172.74,$172.99,$171.21
02/04/2022,$172.49,4592442,$173.1,$174.89,$171.19
02/03/2022,$175.37,4632699,$175.27,$176.66,$173.83
02/02/2022,$175.47,5766988,$172.76,$175.64,$172.57
02/01/2022,$172.34,5952749,$173.15,$173.43,$169.56
01/31/2022,$173.52,5908136,$170.77,$174.11,$170.59
01/28/2022,$172.67,5796013,$168.51,$172.73,$167.21
01/27/2022,$169.37,6545927,$170.78,$173.28,$168.78
01/26/2022,$169.53,6841794,$169.36,$171.81,$166.45
01/25/2022,$171.34,6536944,$172.08,$172.48,$169.74
01/24/2022,$173.33,9272361,$175.49,$176.5,$168.96
01/21/2022,$174.22,6753166,$175.327,$177.24,$174.11
01/20/2022,$173.94,6284161,$175.41,$176.88,$173.84
01/19/2022,$175.21,6424470,$173.96,$175.96,$173.57
01/18/2022,$173.96,5790386,$173.62,$174.76,$173.15
01/14/2022,$175.64,4474579,$174.57,$175.94,$173.4
01/13/2022,$174.18,4310283,$173.71,$174.6861,$173.24
01/12/2022,$173.9,5267988,$173.9,$174.33,$172.95
01/11/2022,$174.09,6452499,$173.684,$174.23,$171.62
01/10/2022,$174.17,5056068,$174.436,$175.84,$173.62
01/07/2022,$174.08,4916044,$174.09,$174.69,$172.61
01/06/2022,$173.86,4288788,$173.91,$175.6,$173.2275
01/05/2022,$173.82,6564551,$173.355,$175.36,$173.23
01/04/2022,$173.23,4717843,$172.66,$174.45,$172.2
01/03/2022,$172.98,5489586,$172.2,$173.19,$170.565
12/31/2021,$173.71,2914941,$172.46,$174.015,$172.11
12/30/2021,$172.67,1988984,$173.54,$173.62,$172.23
12/29/2021,$172.97,2299691,$172.79,$173.46,$171.93
12/28/2021,$172.36,2333095,$171.46,$172.79,$171.2
12/27/2021,$171.47,2868961,$169.985,$171.56,$169.765
12/23/2021,$169.78,3241793,$169.978,$170.63,$169.25
12/22/2021,$169.97,4362937,$168.96,$169.99,$168.27
12/21/2021,$168.92,3401433,$169.23,$169.6025,$167.775
12/20/2021,$169.42,5263606,$167.158,$169.5,$166.75
12/17/2021,$168.3,10181240,$171.11,$172.38,$168.05
12/16/2021,$171.82,6909923,$171.57,$173.56,$171.02
12/15/2021,$171.57,5507820,$169.77,$171.78,$169.46
12/14/2021,$169.39,4984951,$169.35,$170.39,$168.3
12/13/2021,$169.81,5411817,$168.93,$171.255,$168.05
12/10/2021,$168.97,5025801,$167.54,$169.12,$166.9
12/09/2021,$166.31,3644496,$165.92,$166.88,$164.85
12/08/2021,$166.52,3891904,$166.14,$166.69,$164.03
12/07/2021,$166.23,5460142,$166.42,$166.96,$165.66
12/06/2021,$166.42,5403075,$166.05,$167.29,$165.79
12/03/2021,$164.71,6465861,$161.47,$164.88,$161.34
12/02/2021,$160.62,4619832,$160.132,$161.69,$159.83
12/01/2021,$160.16,5385896,$162.47,$163.25,$160.05
11/30/2021,$159.78,7610010,$163.83,$164,$158.39
11/29/2021,$164.14,5305787,$162.67,$164.58,$161.14
11/26/2021,$161.14,3402882,$162.71,$163.66,$160.89
